epivars	hxl	description
id	#respondee	unique individual identifier
date_onset	#date +start	date at which symptoms started
date_report	#date +reported	date at which case was reported
date_outcome	#date +end	date of the outcome (recovery or death)
case_definition	#indicator +name	case type: suspected, probable, confirmed, negative
outcome	#indicator +type	recovery or death
gender	#indicator +type	gender of the individual
age	#indicator +num	age of the individual in years
age_group	#indicator +type	age group of the individual in years
geo	#geo +lon +lat	geographic coordinate: longitude, latitude
